id,word,label
433,booming,0
434,boong,1
435,boonga,1
436,booobs,1
437,boooobs,1
438,booooobs,1
439,booooooobs,1
440,boost,0
441,boot,0
442,bootee,1
443,bootie,1
444,booty,1
445,booty call,1
446,booze,1
447,boozer,1
448,boozy,1
449,bosom,1
450,bosomy,1
451,boundless,0
452,bountiful,0
453,bowel,1
454,bowels,1
455,box,0
456,boy,0
457,brainiest,0
458,brainy,0
459,brand-new,0
460,brassiere,1
461,brave,0
462,bravery,0
463,bravo,0
464,breakthrough,0
465,breakthroughs,0
466,breast,0
467,breastjob,1
468,breastlover,1
469,breastman,1
470,breasts,0
471,breathlessness,0
472,breathtaking,0
473,breathtakingly,0
474,breeder,1
475,breeze,0
476,bright,0
477,brighten,0
478,brighter,0
479,brightest,0
480,brilliance,0
481,brilliances,0
482,brilliant,0
483,brilliantly,0
484,brisk,0
485,brother,0
486,brotherfucker,1
487,brotherly,0
488,brown,0
489,brown showers,1
490,brunette,0
491,brunette action,1
492,bubble,0
493,buceta,1
494,bucket,0
495,bud,0
496,bug,0
497,bugger,1
498,buggered,1
499,buggery,1
500,bukkake,1
501,bull,0
502,bull shit,1
503,bullcrap,1
504,bulldike,1
505,bulldyke,1
506,bullet,0
507,bullet vibe,1
508,bullish,0
509,bullshit,1
510,bullshits,1
511,bullshitted,1
512,bullturds,1
513,bum,0
514,bum boy,1
515,bumblefuck,1
516,bumclat,1
517,bumfuck,1
519,bummer,1
521,bung,1
522,bung hole,1
523,bunga,1
524,bunghole,1
525,bunny,0
526,bunny fucker,1
527,buoyant,0
528,burger,0
529,bust,0
530,bust a load,1
531,busty,1
532,butch,0
533,butchdike,1
534,butchdyke,1
535,butt,0
536,butt fuck,1
537,butt plug,1
538,butt-bang,1
539,butt-fuck,1
540,butt-fucker,1
541,butt-pirate,1
542,buttbang,1
543,buttcheeks,1
544,butter,0
545,buttface,1
546,buttfuck,1
547,buttfucka,1
548,buttfucker,1
549,butthead,1
550,butthole,1
551,buttman,1
552,buttmuch,1
553,buttmunch,1
554,buttmuncher,1
555,button,0
556,buttplug,1
557,c-0-c-k,1
558,c-o-c-k,1
559,c-u-n-t,1
560,c.0.c.k,1
561,c.o.c.k.,1
562,c.u.n.t,1
563,c0ck,1
564,c0cksucker,1
565,caca,1
566,cahone,1
567,cajole,0
568,call,0
569,calm,0
570,calming,0
571,calmness,0
572,camel,0
573,camel toe,1
574,cameltoe,1
575,camgirl,1
576,camslut,1
577,camwhore,1
578,capability,0
579,capable,0
580,capably,0
581,captivate,0
582,captivating,0
583,carefree,0
584,carl,0
585,carpet,0
586,carpet muncher,1
587,carpetmuncher,1
588,cashback,0
589,cashbacks,0
590,catchy,0
591,cawk,1
592,celebrate,0
593,celebrated,0
594,celebration,0
595,celebratory,0
596,cervix,1
597,champ,0
598,champion,0
599,charisma,0
600,charismatic,0
601,charitable,0
602,charm,0
603,charming,0
604,charmingly,0
605,chaste,0
606,cheaper,0
607,cheapest,0
608,cheek,0
609,cheer,0
610,cheerful,0
611,cheery,0
612,cherish,0
613,cherished,0
614,cherub,0
615,chest,0
616,chesticle,1
617,chi-chi man,1
618,chic,0
619,chick,0
620,chick with a dick,1
621,child,0
622,child-fucker,1
623,chin,0
624,chinc,1
625,chincs,1
626,chink,1
627,chinky,1
628,chivalrous,0
629,chivalry,0
630,choad,1
631,choade,1
632,choc ice,1
633,chocolate,0
634,chocolate rosebuds,1
635,chode,1
636,chodes,1
637,chota bags,1
638,chute,0
639,cipa,1
640,circle,0
641,circlejerk,1
642,civility,0
643,civilize,0
644,cl1t,1
645,clam,0
646,clamp,0
647,clarity,0
648,classic,0
649,classy,0
650,clean,0
651,cleaner,0
652,cleanest,0
653,cleanliness,0
654,cleanly,0
655,clear,0
656,clear-cut,0
657,cleared,0
658,clearer,0
659,clearly,0
660,clears,0
661,cleaver,0
662,cleveland steamer,1
663,clever,0
664,cleverly,0
665,clit,1
666,clit licker,1
667,clitface,1
668,clitfuck,1
669,clitoris,1
670,clitorus,1
671,clits,1
672,clitty,1
673,clitty litter,1
674,clog,0
675,clogwog,1
676,clover,0
677,clover clamps,1
678,club,0
679,clunge,1
680,cluster,0
681,clusterfuck,1
682,cnut,1
683,cocain,1
684,cocaine,1
686,cock,1
687,cock pocket,1
688,cock snot,1
689,cock sucker,1
690,cock-sucker,1
691,cockass,1
692,cockbite,1
693,cockblock,1
694,cockburger,1
695,cockeye,1
696,cockface,1
697,cockfucker,1
698,cockhead,1
699,cockholster,1
700,cockjockey,1
701,cockknocker,1
702,cockknoker,1
703,cocklicker,1
704,cocklover,1
705,cocklump,1
706,cockmaster,1
707,cockmongler,1
708,cockmongruel,1
709,cockmonkey,1
710,cockmunch,1
711,cockmuncher,1
712,cocknose,1
713,cocknugget,1
714,cocks,1
715,cockshit,1
716,cocksmith,1
717,cocksmoke,1
718,cocksmoker,1
719,cocksniffer,1
720,cocksucer,1
721,cocksuck,1
723,cocksucked,1
724,cocksucker,1
725,cocksuckers,1
726,cocksucking,1
727,cocksucks,1
728,cocksuka,1
729,cocksukka,1
730,cockwaffle,1
731,coffin,0
732,coffin dodger,1
733,cohere,0
734,coherence,0
735,coherent,0
736,cohesive,0
737,coital,1
738,cok,1
739,cokmuncher,1
740,coksucka,1
741,colorful,0
742,come,0
743,comely,0
744,comfort,0
745,comfortable,0
746,comfortably,0
747,comforting,0
748,comfy,0
749,commend,0
750,commendable,0
751,commendably,0
752,commie,1
753,commitment,0
754,commodious,0
755,compact,0
756,compactly,0
757,compassion,0
758,compassionate,0
759,compatible,0
760,competitive,0
761,complement,0
762,complementary,0
763,complemented,0
764,complements,0
765,compliant,0
766,compliment,0
767,complimentary,0
768,comprehensive,0
769,conciliate,0
770,conciliatory,0
771,concise,0
772,confidence,0
773,confident,0
774,congenial,0
775,congratulate,0
776,congratulation,0
777,congratulations,0
778,congratulatory,0
779,conscientious,0
780,considerate,0
781,consistent,0
782,consistently,0
783,constructive,0
784,consummate,0
785,contentment,0
786,continuity,0
787,contrasty,0
788,contribution,0
789,convenience,0
790,convenient,0
791,conveniently,0
792,convience,0
793,convienient,0
794,convient,0
795,convincing,0
796,convincingly,0
797,coochie,1
798,coochy,1
799,cool,0
800,coolest,0
801,coon,1
802,coonnass,1
803,coons,1
804,cooperative,0
805,cooperatively,0
806,cooter,1
807,cop,0
808,cop some wood,1
809,coprolagnia,1
810,coprophilia,1
811,core,0
812,corksucker,1
813,corn,0
814,cornerstone,0
815,cornhole,1
816,corp,0
817,corp whore,1
818,correct,0
819,correctly,0
820,cost-effective,0
821,cost-saving,0
822,counter-attack,0
823,counter-attacks,0
824,courage,0
825,courageous,0
826,courageously,0
827,courageousness,0
828,courteous,0
829,courtly,0
830,covenant,0
831,cox,1
832,cozy,0
833,crack,1
835,crack-whore,1
836,cracker,1
837,crackwhore,1
840,crappy,1
841,creampie,1
842,creative,0
843,credence,0
844,credible,0
845,cretin,1
846,crikey,1
847,cripple,1
848,crisp,0
849,crisper,0
850,crotte,1
851,cum,1
852,cum chugger,1
853,cum dumpster,1
854,cum freak,1
855,cum guzzler,1
856,cumbubble,1
857,cumdump,1
858,cumdumpster,1
859,cumguzzler,1
860,cumjockey,1
861,cummer,1
862,cummin,1
863,cumming,1
864,cums,1
865,cumshot,1
866,cumshots,1
867,cumslut,1
868,cumstain,1
869,cumtart,1
870,cunilingus,1
871,cunillingus,1
872,cunn,1
873,cunnie,1
874,cunnilingus,1
875,cunntt,1
876,cunny,1
877,cunt,1
878,cunt hair,1
879,cunt-struck,1
880,cuntass,1
881,cuntbag,1
882,cuntface,1
883,cuntfuck,1
884,cuntfucker,1
885,cunthole,1
886,cunthunter,1
887,cuntlick,1
889,cuntlicker,1
891,cuntlicking,1
892,cuntrag,1
893,cunts,1
894,cuntsicle,1
895,cuntslut,1
896,cuntsucker,1
897,cup,0
898,cure,0
899,cure-all,0
900,curtain,0
901,cushy,0
902,cut,0
903,cut rope,1
904,cute,0
905,cuteness,0
906,cyalis,1
907,cyberfuc,1
908,cyberfuck,1
909,cyberfucked,1
910,cyberfucker,1
911,cyberfuckers,1
912,cyberfucking,1
913,cybersex,1
914,d0ng,1
915,d0uch3,1
916,d0uche,1
917,d1ck,1
918,d1ld0,1
919,d1ldo,1
920,dago,1
921,dagos,1
922,dammit,1
923,damn,0
924,damned,1
925,damnit,1
926,danke,0
927,danken,0
928,daring,0
929,daringly,0
930,darkie,1
931,darling,0
932,darn,1
933,dashing,0
934,date,0
935,date rape,1
936,daterape,1
937,dauntless,0
938,dawgie-style,1
939,dawn,0
940,dazzle,0
941,dazzled,0
942,dazzling,0
943,dead-cheap,0
944,dead-on,0
945,decency,0
946,decent,0
947,decisive,0
948,decisiveness,0
949,dedicated,0
950,deep,0
951,deep throat,1
952,deepthroat,1
953,defeat,0
954,defeated,0
955,defeating,0
956,defeats,0
957,defender,0
958,deference,0
959,deft,0
960,deggo,1
961,deginified,0
962,delectable,0
963,delicacy,0
964,delicate,0
965,delicious,0
966,delight,0
967,delighted,0
968,delightful,0
969,delightfully,0
970,delightfulness,0
971,dendrophilia,1
972,dependable,0
973,dependably,0
974,deservedly,0
975,deserving,0
976,desirable,0
977,desiring,0
978,desirous,0
979,destiny,0
980,detachable,0
981,devout,0
982,dexterous,0
983,dexterously,0
984,dextrous,0
985,dick,1
986,diddle,1
987,dignified,0
988,dignify,0
989,dignity,0
990,dike,1
991,dildo,1
992,dildos,1
993,diligaf,1
994,diligence,0
995,diligent,0
996,diligently,0
997,dillweed,1
998,dimwit,1
999,dingle,1
1000,dingleberries,1
1001,dingleberry,1
1002,dink,1
1003,dinks,1
1004,dip,0
1005,diplomatic,0
1006,dipship,1
1007,dipshit,1
1008,dirsa,1
1009,dirt-cheap,0
1010,dirty,0
1011,dirty pillows,1
1012,dirty sanchez,1
1013,distinction,0
1014,distinctive,0
1015,distinguished,0
1016,diver,0
1017,diversified,0
1018,divine,0
1019,divinely,0
1020,dlck,1
1021,dodger,0
1022,dog,0
1023,dog style,1
1024,dog-fucker,1
1025,doggie,0
1026,doggie style,1
1027,doggie-style,1
1028,doggiestyle,1
1029,doggin,1
1030,dogging,1
1031,doggy,0
1032,doggy style,1
1033,doggy-style,1
1034,doggystyle,1
1035,dolcett,1
1036,dominate,0
1037,dominated,0
1038,dominates,0
1039,domination,0
1040,dominatrix,1
1041,dommes,1
1042,dong,1
1043,donkey,0
1044,donkey punch,1
1045,donkeypunch,1
1046,donkeyribber,1
1047,donut,0
1048,doochbag,1
1049,doofus,1
1050,dookie,1
1051,doosh,1
1052,dopey,1
1053,dote,0
1054,dotingly,0
1055,double,0
1056,double dong,1
1057,double penetration,1
1058,doublelift,1
1059,doubtless,0
1060,douch3,1
1061,douche,1
1062,douche-fag,1
1063,douchebag,1
1064,douchebags,1
1065,douchewaffle,1
1066,douchey,1
1067,dp action,1
1068,dreamland,0
1069,drunk,1
1070,dry hump,1
1071,duche,1
1072,dumass,1
1073,dumb,0
1074,dumb ass,1
1075,dumbass,1
1076,dumbasses,1
1077,dumbcunt,1
1078,dumbfounded,0
1079,dumbfounding,0
1080,dumbfuck,1
1081,dumbshit,1
1082,dummy,1
1083,dummy-proof,0
1084,dump,0
1085,dumpster,0
1086,dumshit,1
1087,durable,0
1088,dvda,1
1089,dyke,1
1090,dykes,1
1091,dynamic,0
1092,eager,0
1093,eagerly,0
1094,eagerness,0
1095,earnest,0
1096,earnestly,0
1097,earnestness,0
1098,ease,0
1099,eased,0
1100,eases,0
1101,easier,0
1102,easiest,0
1103,easiness,0
1104,easing,0
1105,easy,0
1106,easy-to-use,0
1107,easygoing,0
1108,eat,0
1109,eat a dick,1
1110,eat hair pie,1
1111,eat my ass,1
1112,eatpussy,1
1113,ebullience,0
1114,ebullient,0
1115,ebulliently,0
1116,ecchi,1
1117,ecenomical,0
1118,economical,0
1119,ecstasies,0
1120,ecstasy,0
1121,ecstatic,0
1122,ecstatically,0
1123,edify,0
1124,educated,0
1125,effective,0
1126,effectively,0
1127,effectiveness,0
1128,effectual,0
1129,efficacious,0
1130,efficient,0
1131,efficiently,0
1132,effortless,0
1133,effortlessly,0
1134,effusion,0
1135,effusive,0
1136,effusively,0
1137,effusiveness,0
1138,ejaculate,1
1139,ejaculated,1
1140,ejaculates,1
1141,ejaculating,1
1142,ejaculatings,1
1143,ejaculation,1
1144,ejakulate,1
1145,elan,0
1146,elate,0
1147,elated,0
1148,elatedly,0
1149,elation,0
1150,electrify,0
1151,elegance,0
1152,elegant,0
1153,elegantly,0
1154,elevate,0
1155,elite,0
1156,eloquence,0
1157,eloquent,0
1158,eloquently,0
1159,embolden,0
1160,eminence,0
1161,eminent,0
1162,empathize,0
1163,empathy,0
1164,empower,0
1165,empowerment,0
1166,enchant,0
1167,enchanted,0
1168,enchanting,0
1169,enchantingly,0
1170,encourage,0
1171,encouragement,0
1172,encouraging,0
1173,encouragingly,0
1174,end,0
1175,endear,0
1176,endearing,0
1177,endorse,0
1178,endorsed,0
1179,endorsement,0
1180,endorses,0
1181,endorsing,0
1182,energetic,0
1183,energize,0
1184,energy-efficient,0
1185,energy-saving,0
1186,engaging,0
1187,engrossing,0
1188,enhance,0
1189,enhanced,0
1190,enhancement,0
1191,enhances,0
1192,enjoy,0
1193,enjoyable,0
1194,enjoyably,0
1195,enjoyed,0
1196,enjoying,0
1197,enjoyment,0
1198,enjoys,0
1199,enlargement,0
1200,enlighten,0
1201,enlightenment,0
1202,enliven,0
1203,ennoble,0
1204,enough,0
1205,enrapt,0
1206,enrapture,0
1207,enraptured,0
1208,enrich,0
1209,enrichment,0
1210,enterprising,0
1211,entertain,0
1212,entertaining,0
1213,entertains,0
1214,enthral,0
1215,enthrall,0
1216,enthralled,0
1217,enthuse,0
1218,enthusiasm,0
1219,enthusiast,0
1220,enthusiastic,0
1221,enthusiastically,0
1222,entice,0
1223,enticed,0
1224,enticing,0
1225,enticingly,0
1226,entranced,0
1227,entrancing,0
1228,entrust,0
1229,enviable,0
1230,enviably,0
1231,envious,0
1232,enviously,0
1233,enviousness,0
1234,envy,0
1235,equitable,0
1236,erect,0
1237,erection,1
1238,ergonomical,0
1241,erotism,1
1242,err-free,0
1243,erudite,0
1244,escort,0
1245,essohbee,1
1246,ethical,0
1247,eulogize,0
1248,eunuch,1
1249,euphoria,0
1250,euphoric,0
1251,euphorically,0
1252,evaluative,0
1253,evenly,0
1254,eventful,0
1255,everlasting,0
1256,evocative,0
1257,exalt,0
1258,exaltation,0
1259,exalted,0
1260,exaltedly,0
1261,exalting,0
1262,exaltingly,0
1263,examplar,0
1264,examplary,0
1265,excallent,0
1266,exceed,0
1267,exceeded,0
1268,exceeding,0
1269,exceedingly,0
1270,exceeds,0
1271,excel,0
1272,exceled,0
1273,excelent,0
1274,excellant,0
1275,excelled,0
1276,excellence,0
1277,excellency,0
1278,excellent,0
1279,excellently,0
1280,excels,0
1281,exceptional,0
1282,exceptionally,0
1283,excite,0
1284,excited,0
1285,excitedly,0
1286,excitedness,0
1287,excitement,0
1288,excites,0
1289,exciting,0
1290,excitingly,0
1291,exellent,0
1292,exemplar,0
1293,exemplary,0
1294,exhilarate,0
1295,exhilarating,0
1296,exhilaratingly,0
1297,exhilaration,0
1298,exonerate,0
1299,expansive,0
1300,expeditiously,0
1301,expertly,0
1302,exquisite,0
1303,exquisitely,0
1304,extacy,1
1305,extasy,1
1306,extol,0
1307,extoll,0
1308,extraordinarily,0
1309,extraordinary,0
1310,exuberance,0
1311,exuberant,0
1312,exuberantly,0
1313,exult,0
1314,exultant,0
1315,exultation,0
1316,exultingly,0
1317,eye,0
1318,eye-catch,0
1319,eye-catching,0
1320,eyecatch,0
1321,eyecatching,0
1322,f u c k,1
1323,f u c k e r,1
1324,f_u_c_k,1
1325,f-u-c-k,1
1326,f.u.c.k,1
1327,f4nny,1
1328,fabulous,0
1329,fabulously,0
1330,face,0
1331,facefucker,1
1333,facial,1
1334,facilitate,0
1335,fack,1
1337,fag,1
1338,fagbag,1
1339,fagfucker,1
1340,fagg,1
1341,fagged,1
1342,fagging,1
1343,faggit,1
1344,faggitt,1
1345,faggot,1
1346,faggotcock,1
1347,faggots,1
1348,faggs,1
1349,fagot,1
1350,fagots,1
1351,fags,1
1352,fagtard,1
1353,faig,1
1354,faigt,1
1355,fair,0
1356,fairly,0
1357,fairness,0
1358,faith,0
1359,faithful,0
1360,faithfully,0
1361,faithfulness,0
1362,fame,0
1363,famed,0
1364,famous,0
1365,famously,0
1366,fancier,0
1367,fancinating,0
1368,fancy,0
1369,fanfare,0
1370,fanny,1
1371,fannybandit,1
1372,fannyflaps,1
1373,fannyfucker,1
1374,fans,0
1375,fantastic,0
1376,fantastically,0
1377,fanyy,1
1380,fartknocker,1
1381,fascinate,0
1382,fascinating,0
1383,fascinatingly,0
1384,fascination,0
1385,fashionable,0
1386,fashionably,0
1387,fast,0
1388,fast-growing,0
1389,fast-paced,0
1390,faster,0
1391,fastest,0
1392,fastest-growing,0
1393,fastfuck,1
1396,fatass,1
1397,fatfuck,1
1398,fatfucker,1
1399,faultless,0
1400,fav,0
1401,fave,0
1402,favor,0
1403,favorable,0
1404,favored,0
1405,favorite,0
1406,favorited,0
1407,favour,0
1408,fcuk,1
1409,fcuker,1
1410,fcuking,1
1411,fearless,0
1412,fearlessly,0
1413,feasible,0
1414,feasibly,0
1415,feat,0
1416,feature-rich,0
1417,fecal,1
1418,fecilitous,0
1419,feck,1
1420,fecker,1
1421,feisty,0
1422,felch,1
1423,felcher,1
1424,felching,1
1425,felicitate,0
1426,felicitous,0
1427,felicity,0
1428,fellate,1
1429,fellatio,1
1430,feltch,1
1431,feltcher,1
1432,female,0
1433,female squirting,1
1434,femdom,1
1435,fenian,1
1436,fertile,0
1437,fervent,0
1438,fervently,0
1439,fervid,0
1440,fervidly,0
1441,fervor,0
1442,festive,0
1443,fetish,0
1444,fidelity,0
1445,fiery,0
1446,figging,1
1447,fine,0
1448,fine-looking,0
1449,finely,0
1450,finer,0
1451,finest,0
1452,finger,0
1453,fingerbang,1
1454,fingerfuck,1
1456,fingerfucked,1
1457,fingerfucker,1
1459,fingerfuckers,1
1460,fingerfucking,1
1461,fingerfucks,1
1462,fingering,1
1463,firmer,0
1464,first-class,0
1465,first-in-class,0
1466,first-rate,0
1467,fist,0
1468,fist fuck,1
1469,fisted,1
1470,fistfuck,1
1471,fistfucked,1
1472,fistfucker,1
1474,fistfuckers,1
1475,fistfucking,1
1476,fistfuckings,1
1477,fistfucks,1
1478,fisting,1
1479,fisty,1
1480,flamer,1
1481,flange,1
1484,flaps,1
1485,flashy,0
1486,flatter,0
1487,flattering,0
1488,flatteringly,0
1489,flawless,0
1490,flawlessly,0
1491,fleshflute,1
1492,flexibility,0
1493,flexible,0
1494,flog,0
1495,flog the log,1
1496,floozy,1
1497,flourish,0
1498,flourishing,0
1499,fluent,0
1500,flutter,0
1501,foad,1
1502,foah,1
1503,fond,0
1504,fondle,1
1505,fondly,0
1506,fondness,0
1507,foobar,1
1508,fook,1
1509,fooker,1
1510,foolproof,0
1511,foot,0
1512,foot fetish,1
1513,footfuck,1
1514,footfucker,1
1515,footjob,1
1516,footlicker,1
1517,foremost,0
1518,foresight,0
1519,foreskin,1
1520,formidable,0
1521,fortitude,0
1522,fortuitous,0
1523,fortuitously,0
1524,fortunate,0
1525,fortunately,0
1526,fortune,0
1527,fragrant,0
1528,freak,0
1529,freakfuck,1
1530,freakyfucker,1
1531,free,0
1532,freed,0
1533,freedom,0
1534,freedoms,0
1535,freefuck,1
1536,freex,1
1537,fresh,0
1538,fresher,0
1539,freshest,0
1540,friendliness,0
1541,friendly,0
1542,frigg,1
1543,frigga,1
1544,frolic,0
1545,frotting,1
1546,frugal,0
1547,fruitful,0
1548,ftw,0
1549,fubar,1
1550,fuc,1
1551,fuck,1
1552,fuck buttons,1
1553,fuck hole,1
1554,fuck off,1
1555,fuck puppet,1
1556,fuck trophy,1
1557,fuck yo mama,1
1558,fuck you,1
1559,fuck-ass,1
1560,fuck-bitch,1
1561,fuck-tard,1
1562,fucka,1
1563,fuckass,1
1564,fuckbag,1
1565,fuckboy,1
1566,fuckbrain,1
1567,fuckbutt,1
1568,fuckbutter,1
1569,fucked,1
1570,fuckedup,1
1571,fucker,1
1572,fuckers,1
1573,fuckersucker,1
1574,fuckface,1
1575,fuckfreak,1
1576,fuckhead,1
1577,fuckheads,1
1578,fuckher,1
1579,fuckhole,1
1580,fuckin,1
1581,fucking,1
1582,fuckingbitch,1
1583,fuckings,1
1584,fuckingshitmotherfucker,1
1585,fuckme,1
1587,fuckmeat,1
1588,fuckmehard,1
1589,fuckmonkey,1
1590,fucknugget,1
1591,fucknut,1
1592,fucknutt,1
1593,fuckoff,1
1594,fucks,1
1595,fuckstick,1
1596,fucktard,1
